House_Price,House_Title,Post_Date,House_Link,House_Long,House_Lat
299900.0,AMAZING Nearly New 2 Storey In A Great Location!,"Mon, 10 Jun 2019 22:00:26 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/amazing-nearly-new-2-storey-in-a-great-location/1440129115,-96.8982983,49.2977297
349900.0,5 Bedroom Family Home &amp; A GREAT Place To Entertain!!,"Mon, 10 Jun 2019 22:06:00 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/5-bedroom-family-home-a-great-place-to-entertain/1440129833,-96.9849244,49.4388268
229900.0,Quiet Low Maintenance Living On The Outskirts Of Town!,"Mon, 10 Jun 2019 22:13:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/quiet-low-maintenance-living-on-the-outskirts-of-town/1440130700,-96.97377499999999,49.4383036
374900.0,Spacious 5 bedroom 3 full bathrooms for sale available now,"Tue, 11 Jun 2019 07:20:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/spacious-5-bedroom-3-full-bathrooms-for-sale-available-now/1440157901,-97.1024619,49.9073112
369900.0,5 Bedroom Newer Duplex with Dbl Garage in East Kildonan,"Tue, 11 Jun 2019 07:20:43 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/5-bedroom-newer-duplex-with-dbl-garage-in-east-kildonan/1440157879,-97.0977935,49.8794026
324900.0,EXECUTIVE 5 BED FAMILY HOME,"Tue, 11 Jun 2019 09:00:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/executive-5-bed-family-home/1352250121,-96.21695489999999,50.5623146
439000.0,Massive 4BD 3BA Self-Sustaining Estate on 80 Acres,"Tue, 11 Jun 2019 09:45:33 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/massive-4bd-3ba-self-sustaining-estate-on-80-acres/1440191594,-97.273597,50.388934
334900.0,Newer home is located on a very private large country lot,"Tue, 11 Jun 2019 09:45:16 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/newer-home-is-located-on-a-very-private-large-country-lot/1440191528,-97.0406572,49.4989594
329900.0,803 BOREBANK- HOME FOR SALE ON QUIET RIVER HEIGHTS STREET,"Tue, 11 Jun 2019 09:51:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/803-borebank-home-for-sale-on-quiet-river-heights-street/1440192942,-97.03817889999999,49.6066765
244900.0,Amazing 2000sqft bungalow + 2 acres in Kleefeld!,"Tue, 11 Jun 2019 10:00:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/amazing-2000sqft-bungalow-2-acres-in-kleefeld/1440195038,-96.873846,49.510117
629900.0,We Will Buy Your House Cash Today!,"Tue, 11 Jun 2019 10:06:28 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/we-will-buy-your-house-cash-today/1440196545,-97.17599279999999,49.9065147
